x,Curve1
4.92163,0.878436
21.1088,0.857041
31.1274,0.841061
41.1419,0.81986
51.1604,0.80388
59.6358,0.787949
71.1854,0.756255
80.4202,0.724634
90.4307,0.698211
98.89,0.661392
109.656,0.614058
119.211,-0.00242959
149.303,-0.00337242
178.623,-0.00429107
189.778,3.45228
200.467,3.30573
210.401,3.18009
224.165,3.01778
249.523,2.88122
274.904,2.77598
301.078,2.69683
349.595,2.57521
401.978,2.46391
448.977,2.37366
499.057,2.2781
